Filename,Camera,Model,Detected_Diameter_mm,Status
cam2__YCA__44758__20260410_130102_711192.jpg,cam2,YCA,13.06,2
cam1__YCA__44758__20260410_130102_622987.jpg,cam1,YCA,12.94,2
cam2__YED__26133__20260410_130157_160629.jpg,cam2,YED,14.71,1
cam1__YED__26133__20260410_130156_964941.jpg,cam1,YED,15.18,2
cam1__YCA__44759__20260410_130248_316393.jpg,cam1,YCA,12.94,2
cam2__YCA__44759__20260410_130248_392537.jpg,cam2,YCA,12.94,2
cam2__YED__26134__20260410_130344_009320.jpg,cam2,YED,14.94,2
cam1__YED__26134__20260410_130343_894399.jpg,cam1,YED,15.18,2
cam2__YED__57691__20260410_130436_898240.jpg,cam2,YED,15.18,2
cam1__YED__57691__20260410_130436_819577.jpg,cam1,YED,14.94,2
cam2__YED__26135__20260410_130529_403279.jpg,cam2,YED,15.18,2
cam1__YED__26135__20260410_130529_328694.jpg,cam1,YED,15.18,2
cam2__YCA__44760__20260410_130621_605624.jpg,cam2,YCA,13.06,2
cam2__YED__26136__20260410_130713_240933.jpg,cam2,YED,15.06,2
cam1__YCA__44760__20260410_130622_081011.jpg,cam1,YCA,N/A,0
cam1__YED__57692__20260410_130813_616211.jpg,cam1,YED,15.18,2
cam2__YED__57692__20260410_130813_613209.jpg,cam2,YED,14.94,2
cam1__YED__26137__20260410_130908_146852.jpg,cam1,YED,15.18,2
cam2__YED__26137__20260410_130908_230099.jpg,cam2,YED,15.18,2
cam1__YCA__44761__20260410_131000_738585.jpg,cam1,YCA,13.06,2
cam2__YCA__44761__20260410_131000_728013.jpg,cam2,YCA,13.18,2
cam2__YED__26138__20260410_131100_832423.jpg,cam2,YED,15.18,2
cam1__YED__26138__20260410_131100_936495.jpg,cam1,YED,15.18,2
cam2__YCA__44762__20260410_131209_312912.jpg,cam2,YCA,13.06,2
cam1__YCA__44762__20260410_131209_236032.jpg,cam1,YCA,12.71,1
cam1__YED__26139__20260410_131300_560567.jpg,cam1,YED,14.94,2
cam2__YED__26139__20260410_131300_485137.jpg,cam2,YED,15.18,2
cam2__YED__57693__20260410_131354_730834.jpg,cam2,YED,15.18,2
cam1__YED__57693__20260410_131354_676769.jpg,cam1,YED,15.18,2
cam2__YED__26140__20260410_131449_505792.jpg,cam2,YED,14.94,2
cam1__YED__26140__20260410_131449_522563.jpg,cam1,YED,15.18,2
cam2__YCA__44763__20260410_131541_870972.jpg,cam2,YCA,13.18,2
cam1__YCA__44763__20260410_131541_748068.jpg,cam1,YCA,13.18,2
cam1__YED__26141__20260410_131632_709726.jpg,cam1,YED,15.18,2
cam2__YED__26141__20260410_131632_757877.jpg,cam2,YED,15.18,2
cam2__YCA__44764__20260410_131727_086614.jpg,cam2,YCA,12.94,2
cam2__YED__26142__20260410_131819_274100.jpg,cam2,YED,15.18,2
cam1__YCA__44764__20260410_131727_180980.jpg,cam1,YCA,N/A,0
cam2__YCA__44765__20260410_131912_588862.jpg,cam2,YCA,13.18,2
cam1__YCA__44765__20260410_131912_534166.jpg,cam1,YCA,13.18,2
cam1__YED__26143__20260410_132039_090800.jpg,cam1,YED,15.06,2
cam2__YED__26143__20260410_132039_189330.jpg,cam2,YED,15.18,2
cam1__YED__57694__20260410_132142_806576.jpg,cam1,YED,15.18,2
cam2__YED__57694__20260410_132142_624802.jpg,cam2,YED,15.18,2
cam2__YCA__5648__20260410_132236_021103.jpg,cam2,YCA,13.18,2
cam1__YCA__5648__20260410_132235_944389.jpg,cam1,YCA,12.94,2
cam1__YED__57695__20260410_132324_818110.jpg,cam1,YED,15.06,2
cam2__YED__57695__20260410_132324_807396.jpg,cam2,YED,14.94,2
cam1__YED__26144__20260410_132422_356802.jpg,cam1,YED,15.06,2
cam2__YED__26144__20260410_132422_408097.jpg,cam2,YED,14.94,2
cam2__YCA__44766__20260410_132527_800164.jpg,cam2,YCA,12.71,1
cam1__YCA__44766__20260410_132528_214003.jpg,cam1,YCA,13.18,2
cam1__YED__26145__20260410_132619_529131.jpg,cam1,YED,15.18,2
cam2__YED__26145__20260410_132619_627094.jpg,cam2,YED,14.94,2
cam2__YED__57696__20260410_132724_740428.jpg,cam2,YED,15.18,2
cam1__YED__57696__20260410_132724_686527.jpg,cam1,YED,15.18,2
cam1__YED__26146__20260410_132817_203152.jpg,cam1,YED,15.06,2
cam2__YED__26146__20260410_132817_407318.jpg,cam2,YED,14.94,2
cam2__YCA__44767__20260410_132909_442086.jpg,cam2,YCA,13.06,2
cam1__YCA__44767__20260410_132909_992521.jpg,cam1,YCA,12.94,2
cam2__YED__26147__20260410_133001_088636.jpg,cam2,YED,15.06,2
cam1__YED__26147__20260410_133001_072888.jpg,cam1,YED,15.18,2
cam2__YED__57697__20260410_133055_420024.jpg,cam2,YED,15.18,2
cam1__YED__57697__20260410_133055_362681.jpg,cam1,YED,15.18,2
cam1__YCA__5649__20260410_133148_834629.jpg,cam1,YCA,13.18,2
cam2__YCA__5649__20260410_133148_893107.jpg,cam2,YCA,13.06,2
cam2__YED__57698__20260410_133242_879883.jpg,cam2,YED,15.18,2
cam1__YED__57698__20260410_133243_336491.jpg,cam1,YED,14.94,2
cam1__YED__26148__20260410_133339_374606.jpg,cam1,YED,15.18,2
cam2__YED__26148__20260410_133338_402675.jpg,cam2,YED,14.71,1
cam2__YCA__44768__20260410_133431_970264.jpg,cam2,YCA,12.71,1
cam1__YCA__44768__20260410_133431_889374.jpg,cam1,YCA,12.94,2
cam1__YED__26149__20260410_133524_594359.jpg,cam1,YED,15.18,2
cam2__YED__26149__20260410_133524_209475.jpg,cam2,YED,15.18,2
cam2__YCA__44769__20260410_133622_976426.jpg,cam2,YCA,12.94,2
cam1__YCA__44769__20260410_133622_773398.jpg,cam1,YCA,13.06,2
cam1__YED__26150__20260410_133713_855645.jpg,cam1,YED,15.18,2
cam2__YED__26150__20260410_133714_374328.jpg,cam2,YED,14.94,2
cam2__YED__57699__20260410_134048_026040.jpg,cam2,YED,15.18,2
cam1__YED__57699__20260410_134047_987967.jpg,cam1,YED,15.18,2
cam1__YED__26151__20260410_134143_693926.jpg,cam1,YED,14.71,1
cam2__YED__26151__20260410_134143_802366.jpg,cam2,YED,15.18,2
cam1__YCA__44770__20260410_134237_887046.jpg,cam1,YCA,13.18,2
cam2__YCA__44770__20260410_134237_986526.jpg,cam2,YCA,12.94,2
cam2__YED__26152__20260410_134327_205044.jpg,cam2,YED,15.18,2
cam1__YED__26152__20260410_134327_116429.jpg,cam1,YED,15.18,2
cam1__YCA__44771__20260410_134426_014073.jpg,cam1,YCA,13.06,2
cam2__YCA__44771__20260410_134425_608773.jpg,cam2,YCA,12.71,1
cam2__YED__26153__20260410_134517_139595.jpg,cam2,YED,14.94,2
cam1__YED__26153__20260410_134516_944265.jpg,cam1,YED,15.18,2
cam2__YCA__44772__20260410_134626_755327.jpg,cam2,YCA,13.18,2
cam1__YCA__44772__20260410_134627_227155.jpg,cam1,YCA,13.18,2
cam1__YED__26154__20260410_134719_291072.jpg,cam1,YED,15.18,2
cam2__YED__26154__20260410_134719_294965.jpg,cam2,YED,14.94,2
cam2__YED__57700__20260410_134813_523803.jpg,cam2,YED,15.06,2
cam1__YED__57700__20260410_134813_600776.jpg,cam1,YED,14.94,2
cam1__YED__26155__20260410_134907_305506.jpg,cam1,YED,15.18,2
cam2__YED__26155__20260410_134907_251108.jpg,cam2,YED,14.94,2
cam2__YED__26307__20260410_191957_018988.jpg,cam2,YED,15.18,2
cam1__YED__26307__20260410_191957_016294.jpg,cam1,YED,15.18,2
cam2__YED__26310__20260410_192820_956908.jpg,cam2,YED,N/A,0
cam1__YED__26310__20260410_192820_953902.jpg,cam1,YED,N/A,0
cam2__YED__57771__20260410_192909_284272.jpg,cam2,YED,15.06,2
cam1__YED__57771__20260410_192909_317897.jpg,cam1,YED,14.94,2
cam2__YED__26311__20260410_193002_988266.jpg,cam2,YED,15.18,2
cam1__YED__26311__20260410_193003_021957.jpg,cam1,YED,15.06,2
cam1__YCA__44873__20260410_200056_260607.jpg,cam1,YCA,13.18,2
cam2__YCA__44873__20260410_200056_296820.jpg,cam2,YCA,13.18,2
cam1__YED__26312__20260410_200146_605197.jpg,cam1,YED,15.18,2
cam2__YED__26312__20260410_200146_577346.jpg,cam2,YED,15.18,2
cam2__YCA__44874__20260410_200240_135506.jpg,cam2,YCA,12.71,1
cam1__YCA__44874__20260410_200240_087921.jpg,cam1,YCA,13.06,2
cam1__YED__26313__20260410_200331_505332.jpg,cam1,YED,14.71,1
cam2__YED__26313__20260410_200331_532834.jpg,cam2,YED,15.06,2
cam1__YCA__44875__20260410_200438_060882.jpg,cam1,YCA,13.06,2
cam2__YCA__44875__20260410_200438_061884.jpg,cam2,YCA,13.06,2
cam2__YED__26314__20260410_200527_442917.jpg,cam2,YED,15.18,2
cam1__YED__26314__20260410_200527_417430.jpg,cam1,YED,14.94,2
cam2__YED__57772__20260410_200623_828169.jpg,cam2,YED,15.06,2
cam1__YED__57772__20260410_200623_850248.jpg,cam1,YED,15.18,2
cam2__YED__26315__20260410_200716_323718.jpg,cam2,YED,15.06,2
cam1__YED__26315__20260410_200716_411968.jpg,cam1,YED,15.18,2
cam1__YCA__44876__20260410_200809_750170.jpg,cam1,YCA,13.18,2
cam2__YCA__44876__20260410_200809_825031.jpg,cam2,YCA,13.18,2
cam2__YED__26316__20260410_200901_131885.jpg,cam2,YED,15.18,2
cam1__YED__26316__20260410_200901_049110.jpg,cam1,YED,15.18,2
cam1__YED__57773__20260410_200954_506212.jpg,cam1,YED,15.18,2
cam2__YED__57773__20260410_200954_414699.jpg,cam2,YED,15.18,2
cam2__YED__26317__20260410_201047_948613.jpg,cam2,YED,15.06,2
